Internal ID,Project Name,RERA ID,Developer,Type,Latitude,Longitude
4929,Commanders Galaxy,,Jupiter Infrastructure Bangalore Pvt Ltd,Apartment,13.0924753,77.6325636
4930,Surbacon Maple,,Surbacon Development Pvt Ltd,Apartment,12.9020881,77.6960942
4931,Saiven Marble Arch,,Saiven Developers Pvt Ltd,Villa or Rowhouse,12.8828539,77.7656196
4932,Mana Sarovar,,Mana Constructions Bangalore Private Ltd,Apartment,30.6615432,81.47183869999999
4933,NCN Paramount,,Nishitas Properties,Apartment,13.0130182,77.6233361
4934,Sarvashri Thubarahalli,,Sarvashri Constructions,Villa or Rowhouse,12.9520393,77.72088529999999
4935,Akshaya Regalia,,Akshaya Infra Promoters,Apartment,12.8969303,77.5263648
4936,KPT Vijaya Harmony,,Vijaya Enterprises,Apartment,,
4937,Nature View Residency,,Bhavana Builders Developers,Apartment,17.9221266,73.6568128
4938,Cumins Genesis,PRM/KA/RERA/1251/446/PR/170916/000172,Cumins Estates,Apartment,13.0293278,77.66888639999999
4939,Mitta Lakeview Golden Nest,,Mitta Group,Villa or Rowhouse,,
4940,Lakshmi Harinivas,,Lakshmi Narashima Builders,Apartment,12.8772397,77.6117087
4941,MCB Dwarka Plots,,MCB ASSETZ,Plot,28.5822999,77.0499762
4942,Bluejay Ardlay,,Bluejay Enterprises Pvt Ltd,Plot,12.8865722,77.4744994
4943,Pyramid Planet,,Pyramid Developers,Apartment,,
4944,Aryan Pebble Bay,,Aryan Build Estates Pvt Ltd,Apartment,13.0494714,77.6346804
4945,Surya Golden Gate,,Surya Developer,Apartment,,
4946,Shri Sai Paradise Bangalore,,Sri Sai Shelters,Apartment,12.882208,77.59036189999999
4947,MSR Lotuss,,Msr Dwellings,Apartment,12.9097111,77.67968429999999
4948,Royal Green Wood,,Royal Properties,Apartment,,
4949,Vmaks Chalet,,Vmaks Builders Private Limited,Apartment,12.8331092,77.6982003
4950,Millennia Lakeview,,Millennia Ventures,Plot,12.8763182,77.6979326
4951,Nestates Emporium,,Nestates Projects Pvt Ltd,Plot,,
4952,Unnati Samruddhi Garden,,Unnathi Developer and Promoters,Plot,,
4953,Aakruthi Paradise,,Aakruthi Group,Plot,,
4954,Divya Jyothi Royal County,,Aratt Builders,Apartment,12.8757314,77.6400082
4955,Navajyothi Rajamatha Grant,,Navajyothi Constructions,Apartment,,
4956,Sree Padam Nivas,,Citadil Construction,Apartment,,
4957,Hiranandani Crossgate,,House of Hiranandani,Apartment,,
4958,AR Neni Classic,,A R Group,Apartment,12.9907296,77.68377629999999
4959,Vishnu Woodstock,PRM/KA/RERA/1251/308/PR/171215/001283,Vishnu Developers,Apartment,,
4960,Nisarga Keerthana,,Nisarga Builders,Apartment,12.8025538,77.70076139999999
4961,Acacia Lake View,,Bearys Group,Apartment,-38.6911701,176.0724886
4962,Mahaveer Woods,,Mahaveer Group,Apartment,12.8987521,77.58738009999999
4963,AR Sri Guru Nandanam,,A R Group,Apartment,12.9313102,77.70402059999999
4964,MEDI Rajeshwari Regency,,Mehta Engineers Developers,Apartment,,
4965,Brigade Lakefront Crimson,PRM/KA/RERA/1251/446/PR/171016/000503,Brigade,Apartment,12.9816096,77.71122629999999
4966,SLS Springs,,SLS,Apartment,12.9008149,77.6550579
4967,V Venture Golden Heights,,V Venture,Apartment,12.8741846,77.616905
4968,Arvinds Sowparnika,,Arvind,Apartment,12.8837861,77.60196739999999
4969,VSG Lake Forest,,VSG Developers,Apartment,,
4970,Fortuna Megha,,Fortuna Constructions India Pvt Ltd,Apartment,,
4971,Jains Prakruti,,Jain Housing and Constructions Ltd,Apartment,12.9217527,77.5745132
4972,Mathapathi Manor,,Mathapathi Bangalore,Apartment,12.9717754,77.70277399999999
4973,Aratt Cityscape,PRM/KA/RERA/1251/446/PR/171222/001233,Aratt Builders,"Villa or Rowhouse, Apartment",13.0612797,77.7575897
4974,Sri Thirumala Lakshmi Grand,,Sri Chowdeshwari Group,Apartment,,
4975,Commanders 7th Avenue,,Jupiter Infrastructure Bangalore Pvt Ltd,Plot,13.4354985,77.7315344
4976,Casa Grande Cyprus,,Casagrand,Apartment,12.9566263,77.5252414
4977,Kritan Calista,,Kritan Urbane Living,Apartment,12.9207559,77.650121
4978,Confident Bellatrix,,Confident Group,Villa or Rowhouse,12.8346232,77.7828481
4979,Vascon Pristina,,Vascon Engineers Ltd,Apartment,12.9053062,77.6956605
4980,S6 Square Infra,,S6 Infra,Apartment,12.9147399,77.67903749999999
4981,Sanjeevini Pebbles,,Sanjeevini Projects,Apartment,12.9673099,77.7396139
4982,Srinivasa Sunridge,,S M Developers,Apartment,12.9833545,77.75407799999999
4983,Pearl Drop,,Landmark Builders,Apartment,,
4984,SVR CS Royal Brindhavan,,SVR Group Builders Developers,Plot,,
4985,Prasiddhi Ascent,,Prasiddhi Group,Apartment,13.0568372,77.5752634
4986,SLVs The Garden,,SLV Housing Development Corporation,Plot,,
4987,Sai Krupa Harmony,,Sai Krupa Builders,Apartment,12.9898539,77.6950822
4988,KKR AMR RUBY Apartment,,Balaji Warehouse Company,Apartment,13.0511453,77.5505269
4989,Sheriff Garden,,Imperium Constructions,Apartment,,
4990,Prime HBR -100,,Prime AssetSource Private Limited,Apartment,13.0191297,77.62880439999999
4991,Brick Field Shelters,,Artha,Villa or Rowhouse,12.8124358,77.7326897
4992,Max Balaji Residency,,Maxworth Realty India Limited,Plot,,
4993,Ayaan Palms,,Ayaan Projects,Plot,,
4994,Sizzle Castle Plotted Layout,,Sizzle Properties Pvt Ltd,Plot,13.0731171,77.7424262
4995,Royal Woods,,Royal Properties,Apartment,,
4996,Ankshu Arnica,,Ankshu Builders,Apartment,13.0067493,77.7157994
4997,Dhio Green Mist,,Dhio Build Tech Properties Pvt Ltd,Plot,13.1041331,77.77764669999999
4998,Excel Hyde Park,,Excel Dwellings India Pvt Ltd,Villa or Rowhouse,,
4999,Laasya Homes,,Laasya Projects,Plot,,
5000,Kishore Shiva Paradise,,Kishore Builders And Developers,Apartment,,
5001,Manar Mansion,,Manar Developers Pvt Ltd,Apartment,12.9021384,77.5918416
5002,AR Manjunatha Regency,,A R Group,Apartment,,
5003,Sammys Grand Palace,,Sammys Dreamland,Villa or Rowhouse,,
5004,Meenakshi Residential Layout,,Sri Krishna Constructions,Plot,,
5005,N D Laurel,,N D Developers Pvt Ltd,Apartment,12.9265501,77.7388912
5006,Supreme Peace Paradise,,Supreme Developers And Builders,Apartment,,
5007,Sri Chaitanya Apartment,,Srinidhi Constructions,Apartment,12.9741573,77.6375702
5008,South West Winter Park County Plot,,South West Land Ventures,Plot,,
5009,Shyam Abhinandan,,Shyam Builders,Apartment,,
5010,Jeevan Samskruthi,,Jeevan Builders,Apartment,,
5011,DSR Orchids,,DSR Infrastructure Pvt Ltd,Apartment,12.9370223,77.6301819
5012,Prima Hi Life,PR/KN/170731/000886,Pristine Homes,Apartment,12.909655,77.6879264
5013,NCN Diamond,PRM/KA/RERA/1251/309/PR/180111/001636,NCN Developers,Apartment,13.0672701,77.60281789999999
5014,Emmanuel Meadows,,Emmanuel Constructions Pvt Ltd,Apartment,12.8319495,77.6871369
5015,B & B Oakyard,,B B Infrastructure Ltd,Apartment,,
5016,APR Tirumala Residency,,APR Constructions,Apartment,12.9231394,77.5372915
5017,Sowmya Sai Sunrise,,Sowmya Developers,Apartment,,
5018,Celebrity Srinivasines,,Celebrity Structures India,Apartment,12.8458367,77.65207819999999
5019,Darshini Aniketh Residency,,Darshini Builders,Apartment,12.8501148,77.6499475
5020,Dreamz Sweekruti,,Dreamz Infra India Pvt Ltd,Apartment,,
5021,NSR Brindavan,,NSR Developers,Apartment,12.8972978,77.65491
5022,Arattukulam Divya Jyothi Coconut Grove,,Aratt Builders,Villa or Rowhouse,25.7355248,-80.2377186
5023,Ramky Samruddhi,,Ramky Group,Apartment,12.9750759,77.5336295
5024,Metropolis Oak Town,,Metropolis,Apartment,12.8414676,77.7709381
5025,Gagan Castle,,Gagan Const And Apartments,Apartment,12.9072214,77.5249034
5026,Silver Wood Enclave,,Honey Comb Developers Engineers,Apartment,13.0574291,77.575177
5027,Mayur Paradise,,Mayur Group,Apartment,,
5028,Kethana Blossom,,Kethana Eternal Projects,Apartment,12.9374352,77.69789899999999
5029,Sumadhura Sankalpam,,Sumadhura,Apartment,12.9855853,77.7121654
5030,RMZ Marq,,RMZ Homes,Apartment,,
5031,GR Shree Nivas,,GR Constructions,Apartment,12.87516,77.63968100000001
5032,Royal North City,,Royal Developers and Promoters,Plot,,
5033,LG Rose Heritage,,LG Builder and Developer Pvt Ltd,Plot,13.1094012,77.6636941
5034,MSK Paradise,PRM/KA/RERA/1254/460/PR/171214/001504,MSK Shelters,"Villa or Rowhouse, Plot",13.3547399,77.68861629999999
5035,Sree Narida,,Sree Maheswara Developers,Apartment,13.0446276,77.6384965
5036,Sree Lakshmi Apartment,,SreeReddy Properties Pvt Ltd,Apartment,,
5037,Vikram Trinetra Retreat,,Vikram Trinetra Group,Apartment,,
5038,Tetra Green Planet,,Tetra Grand Constructions Private Limited,Apartment,,
5039,Dreamz Suvidha Supreme,,Dreamz Infra India Pvt Ltd,Apartment,12.9075612,77.6898034
5040,SGS Highland,,Shivaganga Shelters,Apartment,,
5041,Jeevan Keerthi Commanders Aeroview,,Thiru Margadarshi Construction Pvt Ltd,Apartment,,
5042,Pyramid Green Palms,,Pyramid Developers,Apartment,12.9021604,77.5756883
5043,Olympia Enchante,PRM/KA/RERA/1251/446/PR/171222/000817,Olympia Group,Villa or Rowhouse,12.9611157,77.75119029999999
5044,ATZ Rock View,,ATZ Properties,Apartment,13.0639673,77.6209483
5045,Florentine Residency,,Florentine Constructions,Apartment,,
5046,Indya Estates The Mist,,Indya Estates,Apartment,13.02826,77.58669619999999
5047,ISR Sukriti,,ISR Constructions,Apartment,12.9352761,77.7482034
5048,Celebrity Srivaru,,Celebrity Structures India,Apartment,12.8458917,77.6475881
5049,Sterling Ambrosia,,Zaffars Sterling Estates,Apartment,12.9319814,77.63317479999999
5050,Mahaghar Dwaraka Mai Residency,,Mahaghar,Apartment,,
5051,Kesari Nandan Apartment,,Maxcons,Apartment,,
5052,Royal Srinivasa Residency,,Royal Developers and Promoters,Plot,,
5053,Kritan Calida,,Kritan Urbane Living,Apartment,12.8992174,77.65249980000002
5054,Sai Sunshines,,Sai Associates,Apartment,,
5055,VDB Russet,,Value Designbuild,Apartment,,
5056,Prodaacon Mounika Espancia,,Prodaacon Promoters,Apartment,13.0371791,77.6641301
5057,Pruthvi Lotus,,Pruthvi Builders Developer,Apartment,12.8631909,77.594903
5058,Wright Spaces The Grove Row House,,Wright Spaces India Pvt Ltd,Villa or Rowhouse,,
5059,Hara Enclave,,Vaibhava Builders and Developers,Apartment,12.8501846,77.426703
5060,SLS Sarovar,,SLS,Apartment,13.0710643,77.5708078
5061,Kristal Campus 10,,Kristal Group,Apartment,12.8676405,77.767003
5062,Alpine Apartment,,Alpine Housing Development,Apartment,,
5063,Jampa Royal Heights,,Jampa Constructions,Apartment,,
5064,SGS Hill View,,Shivaganga Shelters,Apartment,,
5065,Bhanu Symphony,,Bhanu Construction,Apartment,13.0201603,77.6876305
5066,Sri Emerald Park,,Srinidhi Constructions,Apartment,12.9486532,77.6960732
5067,Rajni Ashish Apartment,,Aashish Developer and Builders,Apartment,12.949846,77.7183735
5068,Upkar Manor,,Upkar Developers,Apartment,12.8906874,77.5960446
5069,SLV Sunshine,,SLV Builders,Apartment,13.0052422,77.7267038
5070,Bhumi Royal Enclave,,Bhumi Constructions And Developers,Plot,13.0781862,77.4092416
5071,Charigan JC Nest,,Charigan Group,Apartment,,
5072,Madagascar The Hamlet,,C3 Group,Villa or Rowhouse,,
5073,Tricon Vion,,Tricone projects India Limited,Apartment,,
5074,Chethan Maple Tree,,Chethan Builders,Apartment,,
5075,Elite Garden,,Elite Properties Bangalore,Plot,,
5076,Nitesh Garden Enclave,,Nitesh Estates,Apartment,,
5077,BM Lotus,,BM Developers,Apartment,,
5078,SRK Gardens,,Surya Shakti Greenlands,Apartment,12.8885789,77.6545362
5079,Sai Krupa Heritage,,Sai Krupa Builders,Apartment,13.0434838,77.637069
5080,Shrimaan Elegancy,,Shrimaan Builders Developers,Apartment,,
5081,Spandana Pearl,,Spandana Builders and Developers,Apartment,12.9185772,77.6243751
5082,YMR Multi Pearl,,YMR Group,Apartment,,
5083,Hiland EPI Heritage Plot,,Hiland Realty Private Limited,Plot,,
5084,Oasis Prakruthi,,Oasis Constructions,Plot,12.8105511,77.4954266
5085,The Five Summit Address,,Address Maker,Apartment,,
5086,BlueStone Wood Winds,,Blue Stone Homes,Apartment,,
5087,Thiru Margadarshi Dhanalaksmi Enclave,,Thiru Margadarshi Construction Pvt Ltd,Apartment,,
5088,Tuscan Elegance,,Tuscan Group,Apartment,12.9970274,77.6178513
5089,Dreamz Sadhya,,Dreamz Infra India Pvt Ltd,Apartment,12.9223133,77.7345114
5090,Arsis Green Hills,PRM/KA/RERA/1251/446/PR/180130/002413,Arsis Developers,Apartment,13.0205432,77.7062777
5091,SPPL Nasco Bluemoon,,Sweeney Properties Private Limited,Apartment,,
5092,Srinivasa Paradise,,Srinivasa Infro,Plot,,
5093,NBR Homes,,NBR Land Developers Builders,Plot,,
5094,Sree Nandi Park Residency,,Sree Nandi Builders,Apartment,12.9991657,77.7603415
5095,Maithri Opulence,,Maithri Developers,Apartment,12.9733573,77.6663859
5096,SV Spring Woods,PRM/KA/RERA/1251/310/PR/171214/001934,SV Infra Projects,Apartment,12.8632474,77.53210240000001
5097,Apoorva Dew Drops,,ACAS Group,Apartment,12.859502,77.560418
5098,Asritha Happy Living,,Asrithas Group,Apartment,,
5099,Karle Zenith Residence,,Karle Infra Projects,Apartment,,
5100,Unishire Porte Fenetre,,Unishire Groups,Apartment,,
5101,VDB Nusa Dua Chromatic,,Value Designbuild,Apartment,,
5102,Srinidhi VSL Gardenia,,Sri Nandi Developers Constructions,Plot,,
5103,MDVR Byrathi Residency,,MDVR Projects Pvt Ltd,Apartment,13.0536883,77.6571967
5104,Meenakshi North Avenue,,Meenakshi Estates,Apartment,23.280029,77.4478499
5105,Rangashree Sai Deepam,,Rangashree Developers,Apartment,,
5106,Surath Snow White Homes,,Surath Builders,Apartment,21.1702401,72.83106070000001
5107,Nandi Crystal,,Nandi Developers,Apartment,12.9085504,77.6085985
5108,Max Swarna Residency,,Maxworth Realty India Limited,Plot,,
5109,Skyline RK Atlantis,,Skyline Construction Ltd,Apartment,12.9940491,77.6650906
5110,Dasha The Hills,,Dasha Global Ventures,Plot,,
5111,Legacy Esta,,Legacy Group,Plot,,
5112,Magnum Manojavam Apartment,,Magnum Developers,Apartment,,
5113,CBR Aakruthi,,CBR Constructions,Apartment,,
5114,Elegant Pearl,,Elegant,Apartment,,
5115,Carbon Nethaniah,PRM/KA/RERA/1251/446/PR/171230/001943,Carbon Developers,Apartment,12.9058608,77.7019268
5116,Neha Lotus,,Neha Group,Apartment,12.9122616,77.6144895
5117,Rohan Mihira Apartment,,Rohan,Apartment,12.9637028,77.7082116
5118,Goel Ganga Chelston,,Goel Ganga Group,Apartment,,
5119,Sovereign Silicon City,,Sovereign Developers Infrastructure Ltd,Apartment,,
5120,SSV Spring Greens,,Venetion Group,Apartment,13.0081229,77.7197674
5121,Srinidhi Residency,,Srinivas Constructions,Apartment,17.6666163,80.8839749
5122,Banashankari Coral,,MS Kavin Kraler Mercantile,Apartment,12.9254533,77.546757
5123,Citadil Balaji Residency,,Citadil Construction,Apartment,,
5124,Lakvin Valley Residency,,Lakvin Developers,Apartment,12.9077136,77.5118373
5125,TGS Johannesburg,,TGS Constructions Pvt Ltd,Apartment,-26.0987481,28.1400626
5126,CARP Akshaya,,Carp Properties,Apartment,,
5127,Metropolis Electra,,Metropolis,Apartment,12.8640716,77.65470049999999
5128,Daya Magan Samara Mews,,Daya MK Developers Pvt Ltd,Apartment,12.8952573,77.59625319999999
5129,Dhio Blossom Winds,,Dhio Build Tech Properties Pvt Ltd,Plot,,
5130,Devagiri Greens,,Life Style Homes,Apartment,12.8721124,77.61714099999999
5131,Asset Bliss,,Asset Builders,Plot,12.8295426,77.7505779
5132,Signature Tulips,,Signature Projects,Plot,13.0648079,77.7640241
5133,Baldota Thumbprint Villas,,Baldota Brothers,Villa or Rowhouse,,
5134,Sri Balaji Sunflower,,Sri Balaji Builders,Apartment,12.9672463,77.75801890000001
5135,Suhas Royal,,Suhas Estates,Apartment,,
